Punto Clave / Estándar,Descripción Técnica
Automatización de procesos,"Uso de programación visual o scripts para ejecutar tareas repetitivas de modelado y gestión de datos, reduciendo tiempos y errores humanos."
BCF (BIM Collaboration Format),"Estándar de comunicación abierto que permite reportar, gestionar y resolver incidencias de coordinación entre diferentes plataformas de modelado."
BEP (BIM Execution Plan),"Documento estratégico que define los protocolos, estándares, roles y flujos de trabajo para el desarrollo coordinado de la información del proyecto."
CDE (Common Data Environment),"Entorno centralizado de colaboración para la gestión, almacenamiento y distribución controlada de toda la documentación y modelos del proyecto."
COBie,"Formato de intercambio de datos centrado en la gestión de activos, facilitando la entrega de información técnica para la operación y mantenimiento del edificio."
CTE (Código Técnico de la Edificación),Marco normativo que establece las exigencias básicas de calidad que deben cumplir los edificios para garantizar la seguridad y habitabilidad.
Detección de interferencias,Proceso técnico de identificación y resolución de colisiones espaciales entre elementos de distintas disciplinas para evitar conflictos en la fase de obra.
EIR (Exchange Information Requirements),"Requisitos de intercambio de información que especifican qué datos deben entregar los proveedores, en qué formatos y en qué hitos del proyecto."
IA (Inteligencia Artificial),"Implementación de algoritmos avanzados para optimizar flujos de trabajo, automatizar revisiones técnicas y elevar la eficiencia operativa del equipo."
IFC (Industry Foundation Classes),"Formato de datos abierto y neutral que garantiza la interoperabilidad, permitiendo el intercambio de modelos entre distintas herramientas sin pérdida de datos."
ISO 19650,Normativa internacional que regula la gestión de la información durante el ciclo de vida de los activos construidos mediante el uso de BIM.
ISO 7817,Norma que establece los principios y requisitos para determinar el nivel de necesidad de información (Level of Information Need) en procesos BIM.
LOD (Level of Development),Especificación que define el nivel de detalle geométrico y la profundidad de la información técnica de los elementos del modelo en cada fase.
PIR (Project Information Requirements),Requisitos de información del proyecto que definen los datos necesarios para alcanzar los objetivos estratégicos del cliente en un activo específico.
