id,nombre,descripción,reto,ubicacion,año,disciplinas,tipologia,fase,comunicacion,software,lat,lon
P71,Zonna,Desarrollo vertical de lujo frente al mar con usos mixtos.,,"Cancún, Q.Roo, México",2025,Multidisciplina,Edificación,Oficina,"BIM Manager, Coordinador BIM, Otros Modeladores","AutoCAD, BIM 360, Dynamo, Gemini, Monday.com, Navisworks, Python, Revit, Twinmotion",21.16,-86.85
P70,Aeropuerto Norman Manley,Infraestructura aeroportuaria internacional (Confidencial).,,"Kingston, Jamaica",2025,Confidencial,Infraestructura,Oficina,Confidencial,"Confidencial, Dynamo, Gemini, Python",17.97,-76.79
P69,Residencias TEC,Vivienda estudiantil accesible conectada a servicios y educación.,,"Puebla, Pue., México",2025,Documentación y Cuantificación,Vivienda,Oficina,"BIM Manager, Coordinador BIM, Otros Modeladores","BIM 360, Dynamo, Gemini, Navisworks, Python, Revit",19.04,-98.2
P68,Naomi,"Desarrollo vertical mixto integrando comercio, vivienda y oficinas.",,"Cancún, Q.Roo, México",2025,MEP,Edificación,Oficina,"BIM Manager, Coordinador BIM, Otros Modeladores","AutoCAD, BIM 360, Dynamo, Gemini, Monday.com, Navisworks, Python, Revit, Twinmotion",21.16,-86.85
P67,Medline,Pavimentación industrial de alta especificación.,,"Nuevo Laredo, Tamps., México",2025,Infraestructura,Infraestructura,Oficina,"BIM Manager, Coordinador BIM, Otros Modeladores","ACC, Civil 3D, Dynamo, Gemini, Monday.com, Navisworks, Python, Revit, Twinmotion",27.47,-99.51
P66,Mediterráneo,"Complejo de usos mixtos con vivienda, hotelería y comercio.",,"Monterrey, N.L., México",2025,Documentación y Cuantificación,Edificación,Oficina,"BIM Manager, Coordinador BIM, Otros Modeladores","BIM 360, Dynamo, Gemini, Navisworks, Python, Revit",25.68,-100.31
P65,Makmul,Conjunto residencial de dos torres con amenidades y áreas verdes.,,"Cancún, Q.Roo, México",2025,Multidisciplina,Vivienda,Oficina,"BIM Manager, Coordinador BIM, Otros Modeladores","AutoCAD, BIM 360, Dynamo, Gemini, Monday.com, Navisworks, Python, Revit, Twinmotion",21.16,-86.85
P64,Grazia,"Torre de usos mixtos: comercio, vivienda y oficinas.",,"Monterrey, N.L., México",2025,Documentación y Cuantificación,Edificación,Oficina,"BIM Manager, Coordinador BIM, Otros Modeladores","BIM 360, Dynamo, Gemini, Navisworks, Python, Revit",25.68,-100.31
P63,Corporativo CEMEX,Sede corporativa de alto nivel.,,"CDMX, México",2025,Multidisciplina,Edificación,Obra,BIM Manager,"BIM 360, Dynamo, Gamma AR, Gemini, Python, Recap, Revit",19.43,-99.13
P62,Belgica,Edificio residencial con áreas verdes y conectividad urbana.,,"Monterrey, N.L., México",2025,Arquitectura,Edificación,Oficina,"BIM Manager, Coordinador BIM, Otros Modeladores","Dynamo, Gemini, Python, Revit, Twinmotion",25.68,-100.31
