Seccion,Rol,Responsabilidades,Descripcion,Icono
En Obra,Superintendente,Autoridad y decisiones.,IN: Me pide ver avances / OUT: Imágenes y cantidades del modelo,hard-hat
En Obra,Residente de Obra,Supervisión y enlace.,IN: Cambios detectados en obra / OUT: Modelo BIM actualizado,clipboard-check
En Obra,Jefe de Control,Estimaciones y presupuestos.,IN: Cuánto material se necesita / OUT: Tablas de cantidades del modelo,calculator
En Obra,Contratistas,Ejecución y plazos.,IN: Dudas con planos 2D / OUT: Solución visual en el modelo 3D,tools
En Obra,Mano de Obra,Ejecución técnica supervisada.,IN: Dudas de construcción / OUT: Explicación con vistas del modelo,user-worker
En Obra,Cliente,Supervisión diseño estética.,IN: Cambios estéticos / OUT: Propuestas visuales 3D,user-tie
En Oficina,Gerente BIM,Estrategia y gestión.,IN: Metas del mes / OUT: Mis tareas de modelado terminadas,building
En Oficina,BIM Manager,"Calidad, PIR, EIR y BEP.",IN: Reglas del proyecto (BEP) / OUT: Modelos con calidad técnica,desktop
En Oficina,Coordinador BIM,Coordinación e integración.,IN: Mi parte del proyecto / OUT: Mi modelo listo para integrar,project-diagram
En Oficina,Modeladores,Modelado y datos.,IN: Ayuda con piezas / OUT: Creación de familias y soporte,cubes
En Oficina,Cliente,Decisiones y aprobación.,IN: Cambios estéticos / OUT: Propuestas visuales 3D,users-class
En Oficina,Despachos externos,Ingenierías e integración.,IN: Sus ingenierías / OUT: Ajuste y coordinación del modelo,external-link
