id,nombre,descripción,comentarios,reto,problemas físicos detectados,problemas digitales detectados,normas y estandares,metodología proyecto,ciudad,país,año,disciplina modelada,actividad principal,tipologia,entorno,fase,colaboracion,software,lat,lon,GBA (m2),Niveles,Tipo de Espacios,Vegetacion,Capacidad,Certificación,Altura (m),NSA (m2),FSR / CUS,Estacionamiento (Cajones),Costo Aproximado (USD)
P41,Barrio Santa Lucía,"Desarrollo vertical de usos mixtos: comercio, vivienda, oficinas y hotel.",-,"Planeación: Como Modelador BIM Senior, inicié la gestión técnica de este desarrollo de usos mixtos en fase de obra nueva. Bajo los lineamientos de ISO 19650 y el BEP, utilicé una plataforma de gestión de tareas para organizar los cronogramas operativos. Empleé un asistente de inteligencia artificial como motor del flujo global para realizar la revisión técnica de la documentación inicial, lo que permitió detectar alcances operativos y validar que el nivel de necesidad de información para las instalaciones MEP fuera el adecuado según ISO 7817, cumpliendo con los requisitos PIR y EIR establecidos. Ejecución: Mi labor técnica se centró en el modelado especializado de instalaciones MEP dentro de un entorno común de datos CDE, integrando redes y sistemas complejos bajo el sistema de clasificación Omniclass. Solucioné el problema físico de falta de correspondencia entre la ubicación de las instalaciones en sitio y lo estipulado en los planos técnicos mediante el uso de realidad aumentada para detectar desviaciones de forma proactiva. Digitalmente, resolví deficiencias críticas como un LOD excesivo que afectaba el rendimiento del archivo y corregí el mapeo de parámetros IFC para asegurar la interoperabilidad técnica. Mediante el uso de scripts de programación visual, logré una mejora de tiempos en la reestructuración de tablas de cuantificación que presentaban errores de datos. Realicé la detección de interferencias técnica y produje imágenes de alta calidad para las revisiones de avance, manteniendo siempre mi supervisión técnica humana final antes de la carga de información. Cierre: Entregué los modelos finales en formatos neutrales IFC y COBie. Este flujo técnico permitió contar con una base de datos fiel para la gestión del mantenimiento futuro de la infraestructura.. El formato BCF se utilizó como respaldo y evidencia de incidencias.","Problema 1, falta de correspondencia entre la colocación de las instalaciones y lo estipulado en los planos técnicos.","Problema 1, un nivel de desarrollo (LOD) excesivo que compromete el rendimiento del modelo; Problema 2, nomenclatura de familias, planos y vistas inconsistente con los estándares del BEP; Problema 3, familias con descripciones ausentes o discrepantes respecto al catálogo técnico; Problema 4, tablas de cuantificación mal estructuradas con nombres y columnas erróneas; Problema 5, errores ortográficos generalizados en toda la documentación técnica; Problema 6, volumen excesivo de interferencias y colisiones no detectadas ni resueltas; Problema 7, vistas, planos y plantillas sin uso que sobrecargan innecesariamente el archivo; y Problema 8, mapeo de clases y parámetros IFC incorrecto que compromete la interoperabilidad de los datos.","Planeación. ISO 19650 (Gestión de la información), PIR (Project Information Requirements), EIR (Exchange Information Requirements), BEP (BIM Execution Plan), CTE (Código Técnico de la Edificación), ISO 7817 (Nivel de necesidad de información), LOD (Level of Development), Omniclass (Construction Classification System). Ejecución. CDE (Common Data Environment), BCF (BIM Collaboration Format), IDS (Information Delivery Specification). Cierre. IFC (Industry Foundation Classes), COBie (Construction Operations Building Information Exchange).",Open BIM,"Monterrey, N.L.",México,2025,MEP,Modelador BIM Senior Lider,Vivienda,En Obra,Obra Nueva,"Superintendente, Residente, Jefe de Control, Jefe de Seguridad, Contratistas, Cliente, Otros Modeladores","AutoCAD, Dalux, Excel, Gemini AI, Plannerly, Power BI y Revit.",25.68,-100.31,"13,500 m2",16,"Alberca, Bares (zonas de ocio), Comercio, Cowork/oficinas, Departamentos (vivienda), Estacionamiento, Food Court, Gimnasio, Hotel, Jardines, Lavandería, Ludoteca","Ext: Huizache, Mezquite, Anacahuita, Agaves. Int: Potos, Sansevieria, Helechos.","95 Departamentos, 330 Residentes, 210 Visitantes/Día",Potencial LEED,60.8 m,"11,475 m2",6,337,"$15,882,352.94 USD"
P40,Aulas X,Aulas de nivel superior con infraestructura moderna y tecnología de última generación.,,"Planeación: En este proyecto educativo en fase de obra nueva, analicé los requisitos de información técnica bajo la normativa ISO 19650. Como Modelador BIM Senior, operé bajo el plan de ejecución BEP, utilizando el entorno común de datos CDE para facilitar el flujo de información técnica según los estándares institucionales PIR e EIR, asegurando que el nivel de necesidad de información cumpliera con ISO 7817. Ejecución: Mi función operativa se centró en la documentación técnica y cuantificación de materiales, extrayendo datos de los modelos paramétricos para generar tablas de planificación bajo el sistema Omniclass. Solucioné problemas digitales críticos como un LOD excesivo que afectaba el rendimiento del archivo y eliminé elementos sin uso que sobrecargaban el modelo. Utilicé el software de modelado para estandarizar la nomenclatura conforme al BEP, corrigiendo el mapeo de parámetros IFC para permitir la interoperabilidad técnica. Mediante el uso de herramientas de programación visual, reestructuré tablas de cuantificación mal organizadas y corregí errores ortográficos en la documentación técnica. Realicé la detección de colisiones técnica para validar la integridad de la información antes de su publicación, manteniendo siempre mi revisión humana final para validar la calidad técnica antes de la carga de datos. Cierre: Finalicé la labor técnica con la entrega de documentación y tablas estructuradas en formatos neutrales IFC y COBie.. El formato BCF se utilizó como respaldo y evidencia de incidencias.",N/A,"Problema 1, un nivel de desarrollo (LOD) excesivo que compromete el rendimiento del modelo; Problema 2, nomenclatura de familias, planos y vistas inconsistente con los estándares del BEP; Problema 3, familias con descripciones ausentes o discrepantes respecto al catálogo técnico; Problema 4, tablas de cuantificación mal estructuradas con nombres y columnas erróneas; Problema 5, errores ortográficos generalizados en toda la documentación técnica; Problema 6, volumen excesivo de interferencias y colisiones no detectadas ni resueltas; Problema 7, vistas, planos y plantillas sin uso que sobrecargan innecesariamente el archivo; y Problema 8, mapeo de clases y parámetros IFC incorrecto que compromete la interoperabilidad de los datos.","Planeación. ISO 19650 (Gestión de la información), PIR (Project Information Requirements), EIR (Exchange Information Requirements), BEP (BIM Execution Plan), CTE (Código Técnico de la Edificación), ISO 7817 (Nivel de necesidad de información), LOD (Level of Development), Omniclass (Construction Classification System). Ejecución. CDE (Common Data Environment), BCF (BIM Collaboration Format), IDS (Information Delivery Specification). Cierre. IFC (Industry Foundation Classes), COBie (Construction Operations Building Information Exchange).",Open BIM,"Monterrey, N.L.",México,2025,Doc. y Cuan.,Modelador BIM Senior,Educación,En Oficina,Obra Nueva,"BIM Manager, Coordinador BIM, Otros Modeladores","AutoCAD, Dalux, Dynamo / Python, Excel, Gemini AI, Plannerly, Power BI y Revit.",25.68,-100.31,"3,017 m2",3,"Áreas de estudio, Auditorio, Aulas académicas, Cubículos, Laboratorios especializados, Sanitarios","Ext: Huizache, Mezquite, Anacahuita, Agaves. Int: Potos, Sansevieria, Helechos.",862 alumnos,Potencial LEED,11.4 m,"2,564 m2",3.5,75,"$3,549,411.76 USD"
P39,Zonna,Desarrollo vertical de lujo frente al mar con usos mixtos.,,"Planeación: Como Modelador BIM Senior, analicé los requisitos de intercambio de información técnica bajo ISO 19650 en este proyecto de usos mixtos en fase de obra nueva. Bajo el plan de ejecución BEP, utilicé una plataforma de gestión de tareas para organizar cronogramas operativos y empleé un asistente de inteligencia artificial para la revisión técnica de la documentación inicial, detectando alcances para la coordinación multidisciplinaria de arquitectura, estructura e instalaciones MEP, cumpliendo con los estándares PIR y EIR. Ejecución: Desarrollé el modelado de coordinación multidisciplinaria integrando las especialidades técnicas bajo la clasificación Omniclass. Realicé levantamientos en sitio para validar que la geometría digital coincidiera con la realidad física de la obra. Mediante el uso de scripts de programación visual, logré una mejora de tiempos de 15 horas en la cuantificación de materiales y la estandarización de parámetros técnicos. Solucioné deficiencias digitales como un LOD excesivo, nomenclaturas inconsistentes y errores ortográficos mediante el uso de software de modelado paramétrico. Realicé la resolución de interferencias técnica y corregí el mapeo de parámetros IFC para permitir la interoperabilidad en el CDE. La inteligencia artificial funcionó como el motor del flujo global para la validación técnica y la producción de imágenes de alta calidad para las revisiones de avance, manteniendo siempre mi validación humana final. Cierre: Finalicé mi labor técnica con la entrega de modelos en formato neutral IFC y la exportación de metadatos técnicos en formato COBie.. El formato BCF se utilizó como respaldo y evidencia de incidencias.",N/A,"Problema 1, un nivel de desarrollo (LOD) excesivo que compromete el rendimiento del modelo; Problema 2, nomenclatura de familias, planos y vistas inconsistente con los estándares del BEP; Problema 3, familias con descripciones ausentes o discrepantes respecto al catálogo técnico; Problema 4, tablas de cuantificación mal estructuradas con nombres y columnas erróneas; Problema 5, errores ortográficos generalizados en toda la documentación técnica; Problema 6, volumen excesivo de interferencias y colisiones no detectadas ni resueltas; Problema 7, vistas, planos y plantillas sin uso que sobrecargan innecesariamente el archivo; y Problema 8, mapeo de clases y parámetros IFC incorrecto que compromete la interoperabilidad de los datos.","Planeación. ISO 19650 (Gestión de la información), PIR (Project Information Requirements), EIR (Exchange Information Requirements), BEP (BIM Execution Plan), CTE (Código Técnico de la Edificación), ISO 7817 (Nivel de necesidad de información), LOD (Level of Development), Omniclass (Construction Classification System). Ejecución. CDE (Common Data Environment), BCF (BIM Collaboration Format), IDS (Information Delivery Specification). Cierre. IFC (Industry Foundation Classes), COBie (Construction Operations Building Information Exchange).",Open BIM,"Cancún, Q.Roo",México,2025,Multidisciplina,Modelador BIM Senior,Usos Mixtos,En Oficina,Obra Nueva,"BIM Manager, Coordinador BIM, Otros Modeladores","AutoCAD, Dalux, Dynamo / Python, Excel, Gemini AI, Plannerly, Power BI y Revit.",21.16,-86.85,"4,091 m2",7,"Alberca, Bares (zonas de ocio), Cowork/oficinas, Departamentos (vivienda), Gimnasio, Jardines, Lavandería, Ludoteca","Ext: Palmeras, Ceiba, Mangle, Flora Tropical. Int: Orquídeas, Monstera, Palmas de salón.","28 Departamentos, 100 Residentes, 63 Visitantes/Día",Potencial LEED,26.6 m,"3,477 m2",3.5,102,"$6,738,117.65 USD"
P38,Makmul,Conjunto residencial de dos torres con amenidades y áreas verdes.,-,"Planeación: Como Modelador BIM Senior con rol de líder operativo, analicé los requisitos de información técnica para este desarrollo de 58,000 m2 en fase de obra nueva. Bajo la normativa ISO 19650 y siguiendo el plan de ejecución BEP, utilicé una plataforma de gestión de tareas para asignar actividades específicas al equipo de modeladores y realizar el seguimiento de hitos técnicos. Empleé un asistente de inteligencia artificial para la revisión operativa de la documentación inicial, lo que facilitó la detección de alcances para la coordinación multidisciplinaria entre arquitectura, estructura e instalaciones MEP.Ejecución: Mi labor técnica consistió en el modelado de coordinación multidisciplinaria, integrando las especialidades para lograr una base de datos coherente. Solucioné deficiencias digitales como un LOD excesivo, nomenclaturas inconsistentes y errores de mapeo IFC mediante el uso de software de modelado paramétrico. Con el apoyo de scripts de programación visual, logré una mejora de tiempos significativa en la obtención de datos técnicos de obra. La inteligencia artificial funcionó como el motor del flujo global para la validación de parámetros técnicos. Realicé la detección técnica de interferencias y produje imágenes de alta calidad para las revisiones de avance, manteniendo mi supervisión humana final sobre la calidad de la información. Cierre: Debido a retrasos administrativos por parte del cliente, las actividades técnicas se detuvieron al finalizar la etapa de coordinación, por lo que el proyecto no contó con una fase de entrega de activos finales.. El formato BCF se utilizó como respaldo y evidencia de incidencias.",N/A,"Problema 1, un nivel de desarrollo (LOD) excesivo que compromete el rendimiento del modelo; Problema 2, nomenclatura de familias, planos y vistas inconsistente con los estándares del BEP; Problema 3, familias con descripciones ausentes o discrepantes respecto al catálogo técnico; Problema 4, tablas de cuantificación mal estructuradas con nombres y columnas erróneas; Problema 5, errores ortográficos generalizados en toda la documentación técnica; Problema 6, volumen excesivo de interferencias y colisiones no detectadas ni resueltas; Problema 7, vistas, planos y plantillas sin uso que sobrecargan innecesariamente el archivo","Planeación. ISO 19650 (Gestión de la información), PIR (Project Information Requirements), EIR (Exchange Information Requirements), BEP (BIM Execution Plan), CTE (Código Técnico de la Edificación), ISO 7817 (Nivel de necesidad de información), LOD (Level of Development), Omniclass (Construction Classification System). Ejecución. CDE (Common Data Environment), BCF (BIM Collaboration Format), IDS (Information Delivery Specification).",Open BIM,"Cancún, Q.Roo",México,2025,Multidisciplina,Modelador BIM Senior,Vivienda,En Oficina,Obra Nueva,"BIM Manager, Coordinador BIM, Otros Modeladores","AutoCAD, Dalux, Dynamo / Python, Excel, Gemini AI, Plannerly, Power BI y Revit.",21.16,-86.85,"58,000 m2",150 Casas (2-3 niveles) y 2 Torres (20 niveles),"Alberca, Bares (zonas de ocio), Comercio, Cowork/oficinas, Departamentos (vivienda), Estacionamiento, Food Court, Gimnasio, Hotel, Jardines, Lavandería, Ludoteca","Ext: Palmeras, Ceiba, Mangle, Flora Tropical. Int: Orquídeas, Monstera, Palmas de salón.","150 Casas, 280 Departamentos, 1,500 Residentes, 900 Visitantes/Día",-,11.4 m,"49,300 m2",3.5,1450,"$68,235,294.12 USD"
P37,Aeropuerto Norman Manley,Infraestructura aeroportuaria internacional (Confidencial).,Confidencial,Confidencial,Confidencial,Confidencial,Confidencial,Open BIM,Kingston,Jamaica,2025,Confidencial,Modelador BIM Senior,Infraestructura,En Oficina,Remodelación,Confidencial,"AutoCAD, Dalux, Dynamo / Python, Excel, Gemini AI, Plannerly, Power BI y Revit.",,,0,1,"Pistas, Terminal, Zonas operativas",-,0,0,0,0,0,0,0
P36,Residencias TEC,Vivienda estudiantil accesible conectada a servicios y educación.,-,"Planeación: Como Modelador BIM Senior, analicé los requisitos de información técnica para este proyecto residencial de 1,480 m2 en fase de obra nueva. Bajo la normativa ISO 19650 y el plan de ejecución BEP, utilicé una plataforma de gestión de tareas y un asistente de inteligencia artificial para la revisión operativa de la documentación inicial, detectando alcances para la gestión de datos técnicos. Ejecución: Mi función operativa se centró en la documentación técnica y cuantificación de materiales, extrayendo datos de modelos paramétricos para generar entregables de obra. Mediante el uso de scripts de programación visual, logré una mejora de tiempos de 22 horas en la generación de tablas y estandarización de parámetros técnicos. Solucioné deficiencias digitales como un nivel de desarrollo LOD excesivo, nomenclaturas inconsistentes, familias sin descripción, tablas mal estructuradas y errores ortográficos mediante el uso de software de modelado. Realicé la detección de interferencias técnica de los elementos documentados, eliminé plantillas sin uso y corregí el mapeo de parámetros IFC para permitir la interoperabilidad de la información. La inteligencia artificial funcionó como el motor del flujo global para la validación técnica de los metadatos, manteniendo siempre mi supervisión técnica humana final antes de la carga de datos. Cierre: Finalicé la labor técnica con la entrega de modelos en formato neutral IFC y la exportación de metadatos en COBie mediante el uso de hojas de cálculo.. El formato BCF se utilizó como respaldo y evidencia de incidencias.",N/A,"Problema 1, un nivel de desarrollo (LOD) excesivo que compromete el rendimiento del modelo; Problema 2, nomenclatura de familias, planos y vistas inconsistente con los estándares del BEP; Problema 3, familias con descripciones ausentes o discrepantes respecto al catálogo técnico; Problema 4, tablas de cuantificación mal estructuradas con nombres y columnas erróneas; Problema 5, errores ortográficos generalizados en toda la documentación técnica; Problema 6, volumen excesivo de interferencias y colisiones no detectadas ni resueltas; Problema 7, vistas, planos y plantillas sin uso que sobrecargan innecesariamente el archivo; y Problema 8, mapeo de clases y parámetros IFC incorrecto que compromete la interoperabilidad de los datos.","Planeación. ISO 19650 (Gestión de la información), PIR (Project Information Requirements), EIR (Exchange Information Requirements), BEP (BIM Execution Plan), CTE (Código Técnico de la Edificación), ISO 7817 (Nivel de necesidad de información), LOD (Level of Development), Omniclass (Construction Classification System). Ejecución. CDE (Common Data Environment), BCF (BIM Collaboration Format), IDS (Information Delivery Specification). Cierre. IFC (Industry Foundation Classes), COBie (Construction Operations Building Information Exchange).",Open BIM,"Puebla, Pue.",México,2025,Doc. y Cuan.,Modelador BIM Senior,Vivienda,En Oficina,Obra Nueva,"BIM Manager, Coordinador BIM, Otros Modeladores","AutoCAD, Dalux, Dynamo / Python, Excel, Gemini AI, Plannerly, Power BI y Revit.",19.04,-98.2,"1,480 m2",5,"Dormitorios, Oficinas, Sanitarios, Áreas generales","Ext: Jacarandas, Pinos, Encinos. Int: Cuna de Moisés, Palo de Brasil, Ficus.",12 Familias,-,19.0 m,"1,258 m2",3.5,37,"$1,741,176.47 USD"
P35,Naomi,"Desarrollo vertical mixto integrando comercio, vivienda y oficinas.",-,"Planeación: En este proyecto de usos mixtos de fase de obra nueva, analicé los requisitos de información técnica bajo ISO 19650. Como Modelador BIM Senior, operé bajo los lineamientos del BEP, utilizando una plataforma de gestión de tareas para organizar mis actividades operativas y empleé un asistente de inteligencia artificial para la revisión técnica de la documentación inicial, detectando alcances para las instalaciones MEP y asegurando el cumplimiento de PIR y EIR. Ejecución: Desarrollé el modelado especializado de instalaciones MEP dentro de un entorno común de datos CDE, integrando redes y sistemas técnicos complejos bajo Omniclass. Mediante el uso de scripts de programación visual, logré una mejora de tiempos de 12 horas en el modelado y etiquetado de elementos técnicos. Solucioné deficiencias digitales como un LOD excesivo, nomenclaturas inconsistentes y tablas de cuantificación mal estructuradas mediante el uso de software de modelado paramétrico. Realicé la resolución de interferencias técnica, eliminé plantillas sin uso y corregí el mapeo de parámetros IFC para permitir la interoperabilidad de los datos. La inteligencia artificial funcionó como el motor del flujo global para la validación técnica de los metadatos, manteniendo siempre mi supervisión técnica humana final antes de la carga de información. Cierre: Entregué los modelos finales en formato neutral IFC y la exportación de metadatos en formato COBie mediante el uso de hojas de cálculo técnicas.. El formato BCF se utilizó como respaldo y evidencia de incidencias.",N/A,"Problema 1, un nivel de desarrollo (LOD) excesivo que compromete el rendimiento del modelo; Problema 2, nomenclatura de familias, planos y vistas inconsistente con los estándares del BEP; Problema 3, familias con descripciones ausentes o discrepantes respecto al catálogo técnico; Problema 4, tablas de cuantificación mal estructuradas con nombres y columnas erróneas; Problema 5, errores ortográficos generalizados en toda la documentación técnica; Problema 6, volumen excesivo de interferencias y colisiones no detectadas ni resueltas; Problema 7, vistas, planos y plantillas sin uso que sobrecargan innecesariamente el archivo; y Problema 8, mapeo de clases y parámetros IFC incorrecto que compromete la interoperabilidad de los datos.","Planeación. ISO 19650 (Gestión de la información), PIR (Project Information Requirements), EIR (Exchange Information Requirements), BEP (BIM Execution Plan), CTE (Código Técnico de la Edificación), ISO 7817 (Nivel de necesidad de información), LOD (Level of Development), Omniclass (Construction Classification System). Ejecución. CDE (Common Data Environment), BCF (BIM Collaboration Format), IDS (Information Delivery Specification). Cierre. IFC (Industry Foundation Classes), COBie (Construction Operations Building Information Exchange).",Open BIM,"Cancún, Q.Roo",México,2025,MEP,Modelador BIM Senior,Usos Mixtos,En Oficina,Obra Nueva,"BIM Manager, Coordinador BIM, Otros Modeladores","AutoCAD, Dalux, Dynamo / Python, Excel, Gemini AI, Plannerly, Power BI y Revit.",21.16,-86.85,"3,028 m2",6,"Alberca, Bares (zonas de ocio), Comercio, Cowork/oficinas, Departamentos (vivienda), Estacionamiento, Food Court, Gimnasio, Jardines, Lavandería, Ludoteca","Ext: Palmeras, Ceiba, Mangle, Flora Tropical. Int: Orquídeas, Monstera, Palmas de salón.","21 Deptos, 74 Residentes, 47 Visitantes/Día",-,22.8 m,"2,574 m2",3.5,75,"$4,987,294.12 USD"
P34,Carretera San Miguel,Pavimentación carretera de 30 km con tecnología de concreto avanzada.,"Mi labor principal fue técnica y operativa, enfocada en encontrar la mejor modulación para el concreto. Debido a que se contaba con una pavimentadora para un tramo carretero extenso, y considerando que la vía no es lineal y su ancho varía constantemente, realicé la modulación de cada segmento de pavimento. Esta tarea fue necesaria para determinar si la maquinaria podía intervenir en determinados tramos o si estos debían ejecutarse de manera manual. Fue un proceso exhaustivo, ya que la modulación debía cumplir reglas técnicas de ancho y área máxima para llegar a la solución final. Además, modelé el acero de refuerzo correspondiente mediante un script diseñado para colocar los elementos según las instrucciones dadas, lo que permitió una mejora de tiempos en el proceso. Los residentes de obra me reportaban incidencias técnicas, como la aparición de grietas, a través de la plataforma de gestión de campo y realidad aumentada; yo atendía estos reportes para dar solución a los problemas identificados en la obra","Planeación: Como Modelador BIM Senior, analicé los requisitos de información técnica bajo ISO 19650 en este proyecto de infraestructura vial de 30 km en fase de remodelación. Bajo el plan de ejecución BEP, utilicé una plataforma de gestión de tareas para organizar mis actividades operativas y empleé un asistente de inteligencia artificial para auditar la coherencia de los parámetros técnicos iniciales, detectando alcances para la estructura vial según PIR y EIR. Ejecución: Mi función técnica se centró en la modulación del pavimento y el modelado del acero de refuerzo para tramos con geometría variable. Mediante el uso de scripts de programación visual, logré una mejora de tiempos en la generación de la geometría técnica. Solucioné el problema físico de grietas reportadas mediante el uso de realidad avanzada en sitio, validando la integridad técnica de la subestructura. Digitalmente, resolví deficiencias como nomenclaturas de familias inconsistentes y tablas de cuantificación mal estructuradas mediante el uso de software de modelado paramétrico. Corregí errores ortográficos y eliminé elementos sin uso que sobrecargaban el archivo. La inteligencia artificial funcionó como el motor del flujo global para la validación de datos y produje visualizaciones de alta calidad para las revisiones técnicas, manteniendo mi supervisión humana final. Cierre: Entregué los modelos finales y la exportación de metadatos técnicos en formato COBie mediante hojas de cálculo técnicas.. El formato BCF se utilizó como respaldo y evidencia de incidencias.",N/A,"Problema 1, nomenclatura de familias, planos y vistas inconsistente con los estándares del BEP; Problema 2, familias con descripciones ausentes o discrepantes respecto al catálogo técnico; Problema 3, tablas de cuantificación mal estructuradas con nombres y columnas erróneas; Problema 4, errores ortográficos generalizados en toda la documentación técnica; Problema 5, vistas, planos y plantillas sin uso que sobrecargan innecesariamente el archivo","Planeación. ISO 19650 (Gestión de la información), PIR (Project Information Requirements), EIR (Exchange Information Requirements), BEP (BIM Execution Plan), CTE (Código Técnico de la Edificación), ISO 7817 (Nivel de necesidad de información), LOD (Level of Development), Omniclass (Construction Classification System). Ejecución. CDE (Common Data Environment)",Open BIM,"San Miguel, GTO",México,2025,Estructura,Modelador BIM Senior,Infraestructura,En Oficina,Remodelación,"Superintendente, Residente, Jefe de Control, Jefe de Seguridad, Contratistas, Cliente, Otros Modeladores","AutoCAD, Dalux, Dynamo / Python, Excel, Gemini AI, Plannerly, Power BI y Revit.",20.91,-100.74,30 km,1,"Acotamientos, Carriles de rodamiento, Drenaje pluvial, Señalización vial",-,"25,000 Vehículos/Día",-,-,-,-,-,"$88,235,294.12 USD"
P33,Medline,Pavimentación industrial de alta especificación.,"Mi labor principal fue técnica y operativa, enfocada en encontrar la mejor modulación para el concreto. Debido a que se contaba con una pavimentadora para un área extensa. Realicé la modulación de cada segmento de pavimento. Esta tarea fue necesaria para determinar si la maquinaria podía intervenir en determinados tramos o si estos debían ejecutarse de manera manual. Fue un proceso exhaustivo, ya que la modulación debía cumplir reglas técnicas de ancho y área máxima para llegar a la solución final. Además, modelé el acero de refuerzo correspondiente mediante un script diseñado para colocar los elementos según las instrucciones dadas, lo que permitió una mejora de tiempos en el proceso. Los residentes de obra me reportaban incidencias técnicas, como la aparición de grietas, a través de la plataforma de gestión de campo y realidad aumentada; yo atendía estos reportes para dar solución a los problemas identificados en la obra.","Planeación: Como Modelador BIM Senior Lider, analicé los requisitos de información técnica para esta remodelación industrial bajo ISO 19650. Bajo el plan de ejecución BEP, utilicé una plataforma de gestión de tareas para organizar cronogramas operativos y empleé un asistente de inteligencia artificial para auditar el nivel de necesidad de información de la documentación inicial, detectando alcances técnicos para la estructura y cumpliendo con PIR y EIR. Ejecución: Mi función técnica se centró en la modulación de pavimentos de concreto y el modelado del acero de refuerzo para optimizar la ejecución en áreas extensas. Mediante el uso de scripts de programación visual, logré una mejora de tiempos en la generación de la geometría técnica y el etiquetado de elementos bajo Omniclass. Solucioné el problema físico de grietas reportadas mediante realidad aumentada, validando la integridad técnica en sitio. Digitalmente, resolví deficiencias como nomenclaturas de familias inconsistentes y tablas de cuantificación mal estructuradas mediante el uso de software de modelado paramétrico. Corregí fallos ortográficos y eliminé plantillas sin uso que sobrecargaban el archivo en el CDE. La inteligencia artificial funcionó como el motor del flujo global para la validación de parámetros estructurales, manteniendo siempre mi supervisión técnica humana final. Cierre: Entregué los modelos finales y la exportación de metadatos técnicos en formato COBie.. El formato BCF se utilizó como respaldo y evidencia de incidencias.",N/A,"Problema 1, nomenclatura de familias, planos y vistas inconsistente con los estándares del BEP; Problema 2, familias con descripciones ausentes o discrepantes respecto al catálogo técnico; Problema 3, tablas de cuantificación mal estructuradas con nombres y columnas erróneas; Problema 4, errores ortográficos generalizados en toda la documentación técnica; Problema 5, vistas, planos y plantillas sin uso que sobrecargan innecesariamente el archivo","Planeación. ISO 19650 (Gestión de la información), PIR (Project Information Requirements), EIR (Exchange Information Requirements), BEP (BIM Execution Plan), CTE (Código Técnico de la Edificación), ISO 7817 (Nivel de necesidad de información), LOD (Level of Development), Omniclass (Construction Classification System). Ejecución. CDE (Common Data Environment), BCF (BIM Collaboration Format), IDS (Information Delivery Specification). ",Open BIM,"Nuevo Laredo, Tamps.",México,2025,Estructura,Modelador BIM Senior Lider,Infraestructura,En Oficina,Remodelación,"BIM Manager, Coordinador BIM, Otros Modeladores","AutoCAD, Dalux, Dynamo / Python, Excel, Gemini AI, Plannerly, Power BI y Revit.",27.47,-99.51,"3,359 m2",1,"Guarniciones, Juntas de construcción, Superficie de rodamiento industrial",-,-,-,-,-,-,-,"$493,970.59 USD"
P32,Mediterráneo,"Complejo de usos mixtos con vivienda, hotelería y comercio.",-,"Planeación: Como Modelador BIM Senior, analicé los requisitos de intercambio de información técnica bajo la normativa ISO 19650 en este complejo residencial en fase de obra nueva. Bajo el plan de ejecución BEP, utilicé una plataforma de gestión de tareas para organizar mis cronogramas operativos y empleé un asistente de inteligencia artificial para auditar la documentación inicial, detectando alcances técnicos para la documentación y cuantificación conforme a PIR y EIR. Ejecución: Mi función operativa se centró en la extracción de datos de modelos paramétricos para generar láminas de detalle y tablas de planificación bajo Omniclass. Mediante el uso de scripts de programación visual, logré una mejora de tiempos en la organización de planos y el etiquetado de elementos técnicos. Solucioné deficiencias digitales como un nivel de desarrollo LOD excesivo y tablas de cuantificación mal estructuradas mediante el uso de software de modelado paramétrico. Corregí errores ortográficos, resolví el volumen de interferencias técnica y ajusté el mapeo de parámetros IFC para permitir la interoperabilidad técnica en el CDE. La inteligencia artificial funcionó como el motor del flujo global para la validación de los metadatos, manteniendo siempre mi supervisión técnica humana final. Cierre: Entregué la documentación técnica y las tablas estructuradas en formato neutral IFC y COBie mediante el uso de hojas de cálculo.. El formato BCF se utilizó como respaldo y evidencia de incidencias.",N/A,"Problema 1, un nivel de desarrollo (LOD) excesivo que compromete el rendimiento del modelo; Problema 2, nomenclatura de familias, planos y vistas inconsistente con los estándares del BEP; Problema 3, familias con descripciones ausentes o discrepantes respecto al catálogo técnico; Problema 4, tablas de cuantificación mal estructuradas con nombres y columnas erróneas; Problema 5, errores ortográficos generalizados en toda la documentación técnica; Problema 6, volumen excesivo de interferencias y colisiones no detectadas ni resueltas; Problema 7, vistas, planos y plantillas sin uso que sobrecargan innecesariamente el archivo; y Problema 8, mapeo de clases y parámetros IFC incorrecto que compromete la interoperabilidad de los datos.","Planeación. ISO 19650 (Gestión de la información), PIR (Project Information Requirements), EIR (Exchange Information Requirements), BEP (BIM Execution Plan), CTE (Código Técnico de la Edificación), ISO 7817 (Nivel de necesidad de información), LOD (Level of Development), Omniclass (Construction Classification System). Ejecución. CDE (Common Data Environment), BCF (BIM Collaboration Format), IDS (Information Delivery Specification). Cierre. IFC (Industry Foundation Classes), COBie (Construction Operations Building Information Exchange).",Open BIM,"Monterrey, N.L.",México,2025,Doc. y Cuan.,Modelador BIM Senior,Usos Mixtos,En Oficina,Obra Nueva,"BIM Manager, Coordinador BIM, Otros Modeladores","AutoCAD, Dalux, Dynamo / Python, Excel, Gemini AI, Plannerly, Power BI y Revit.",25.68,-100.31,"18,562 m2",22,"Alberca, Bares (zonas de ocio), Comercio, Cowork/oficinas, Departamentos (vivienda), Estacionamiento, Food Court, Gimnasio, Hotel, Jardines, Lavandería, Ludoteca","Ext: Huizache, Mezquite, Anacahuita, Agaves. Int: Potos, Sansevieria, Helechos.","130 Departamentos, 453 Residentes, 288 Visitantes/Día",-,83.6 m,"1,230 m2",6,36,"$30,572,705.88 USD"
