Disciplina,Herramienta,Descripción breve,Descripción detallada,T. Manual,Auto.,Vel.,Dificultad
Arquitectura,Generador de Acabados,Creación automática de suelos de acabados por habitaciones.,"Mediante un script de Dynamo y Python, se utilizan nodos como Room.Boundaries y Floor.Create para detectar el contorno de las habitaciones. El código en Python procesa geometrías complejas para generar automáticamente los suelos de acabado ajustados, optimizando la carga de datos técnicos con el nodo Element.SetParameterByName.",1-2 h / niv,5-10 m,12X,Alta (8)
Arquitectura,Puertas y Ventanas,Colocación masiva de carpinterías mediante coordenadas.,"Mediante un script de Dynamo y Python, se emplean nodos como Data.ImportExcel y FamilyInstance.ByPoint para procesar coordenadas externas. Un nodo de Python identifica el muro anfitrión más cercano para posicionar masivamente las carpinterías, asegurando que los parámetros se transfieran correctamente mediante el nodo Element.SetParameterByName.",1 h / niv,10 m,6X,Media (5)
Estructura,Cimentación desde CAD,Generación de cimentación basada en bloques de AutoCAD.,"Mediante un script de Dynamo y Python, se seleccionan vínculos de CAD con Select.ModelElement y se descomponen con Geometry.Explode. El código de Python filtra los bloques por nombre para colocar automáticamente familias de cimentación en Revit usando de forma precisa el nodo FamilyInstance.ByPoint.",1-2 d / proy,15-30 m,4X,Media (5)
Estructura,Unión de Geometría,Unión masiva de elementos para cuantificación real.,"Mediante un script de Dynamo y Python, se agrupan elementos por categoría y se utiliza el nodo Element.IntersectsElement para identificar colisiones. El script ejecuta un bucle en Python para aplicar la función JoinGeometry.JoinGeometry masivamente, garantizando que los encuentros se limpien para obtener mediciones exactas.",1-2 h / niv,3-6 m,20X,Baja (3)
MEP,Soportería Automática,Colocación de soportes ajustados a la losa superior.,"Mediante un script de Dynamo y Python, se proyectan vectores hacia la estructura superior usando RayBounce.ByOriginDirection para calcular longitudes. El proceso emplea código Python para insertar familias de soportes en puntos específicos, ajustando automáticamente su elevación y dimensiones según el diámetro detectado por el script.",2-4 h / red,8-16 m,15X,Alta (8)
MEP,Ruteado de Charolas,Generación de bandejas de cables siguiendo líneas de modelo.,"Mediante un script de Dynamo y Python, se extraen curvas de líneas de modelo con CurveElement.Curve. El código en Python procesa los puntos de inflexión para generar tramos de bandejas de cables usando CableTray.Create, automatizando la conectividad y el sistema de servicios definido.",1 h / niv,5-10 m,10X,Media (5)
Documentación,Numerador de Planos,Renombrado y renumeración masiva de planos según disciplina.,"Mediante un script de Dynamo y Python, se extraen metadatos de una lista en Excel y se asocian a los planos del proyecto. El script utiliza Python para validar duplicados y aplicar cambios masivos mediante el nodo Element.SetParameterByName, asegurando que la entrega cumpla estrictamente con los estándares del cliente.",2-4 h / ent,5-10 m,24X,Baja (3)
Documentación,Gestor de Familias,Auditoría y limpieza de parámetros en familias cargables.,"Mediante un script de Dynamo y Python, se accede al entorno de edición de familias y se aplica masivamente los nuevos nombres estandarizados usando Element.SetName, asegurando que toda la jerarquía de familias cumpla con los protocolos de información definidos.",3-5 h / ent,12-20 m,15X,Media (5)
G. / Calidad,Etiquetado Adaptativo,Etiquetado automático y ordenado de instalaciones.,"Mediante un script de Dynamo y Python, se calculan vectores con Element.GetLocation y Vector.ByTwoPoints para evitar solapes. El script coloca etiquetas automáticas mediante Tag.ByElement, usando Python para configurar un desfase estándar para que la documentación MEP sea legible y mantenga una distribución profesional.",1-2 h / plan,6-12 m,10X,Alta (8)
G. / Calidad,Monitor de Salud,Auditoría de estabilidad y advertencias del modelo central.,"Mediante un script de Dynamo y Python, se consultan advertencias usando Document.Warnings y se filtran mediante List.GroupByKey. El proceso utiliza Python para extraer métricas de rendimiento y generar informes, facilitando la identificación de elementos que afectan la estabilidad y velocidad del modelo central.",1 h / sem,5 m,12X,Media (5)
G. / Calidad,Renombrador de Vistas,Renombrado masivo de vistas y planos según el BEP.,"Mediante un script de Dynamo y Python, se agrupan vistas por tipos y se procesan parámetros con String.Concat. El script utiliza Python para actualizar nombres de planos masivamente mediante Element.SetParameterByName, garantizando una organización lógica dentro del navegador de proyectos según el BEP.",2-3 h / ent,1-2 m,20X,Baja (3)
Programación / IA,Gemini,Mentor de Código y Asistente Estratégico,"Uso de Gemini para la estructuración, depuración y optimización de lógica en Python y Dynamo. El desarrollo de todos los scripts técnicos listados en este archivo fue posible gracias a la orientación y ayuda constante de Gemini. Además, se emplea para crear asistentes personalizados que apoyan el flujo diario.",2-8 d,1-2 d,3X,Alta (8)
Visualización / IA,Nano Banana,Generación de imágenes arquitectónicas,Producción de renders conceptuales y visualización de alta calidad para presentaciones rápidas. Permite iterar sobre materialidad y atmósfera antes del modelado detallado.,3-5 h / img,2-5 m,70x,Media (5)
Comunicación / IA,Flow,Creación de contenido en video,Generación automatizada de videos y recorridos para explicar procesos complejos o avances de obra a clientes y equipo.,1-2 d,5-10 m,96X,Media (5)
Gestión BIM / IA,Bimlogic,Optimización diaria en Revit,Apoyo directo en el modelado para tareas repetitivas de gestión de parámetros y limpieza de elementos dentro de la interfaz de Revit.,1-2 h / día,10 m,8X,Baja (3)
Capacitación / IA,NotebookLM,Gestión de conocimiento y contenido,"Generación de audios técnicos para capacitación del equipo, resúmenes de normativas e infografías para mejorar la comprensión de procesos internos o presentaciones de impacto.",2-3 h / doc,10-15 m,24X,Baja (3)
